algorithm,domain,seed,target_acc,source_val,best_step,task_id
Fishr,photo,101,0.9796407185628743,0.9729064589747006,500,final_Fishr_e2_s101
Fishr,photo,102,0.9820359281437125,0.9731598202616532,750,final_Fishr_e2_s102
Fishr,sketch,100,0.7841689997454823,0.9802865378681961,500,final_Fishr_e3_s100
Fishr,sketch,101,0.7711885976075338,0.977151781739428,1000,final_Fishr_e3_s101
Fishr,sketch,102,0.8078391448205651,0.9791055258091844,750,final_Fishr_e3_s102
GroupDRO,art_painting,100,0.80908203125,0.9686187046669902,2750,final_GroupDRO_e0_s100
GroupDRO,art_painting,101,0.85546875,0.9674626086712742,2500,final_GroupDRO_e0_s101
GroupDRO,art_painting,102,0.85546875,0.9612104442647178,3750,final_GroupDRO_e0_s102
GroupDRO,cartoon,100,0.8071672354948806,0.9663489273613551,1500,final_GroupDRO_e1_s100
GroupDRO,cartoon,101,0.8110068259385665,0.9639399941182528,1000,final_GroupDRO_e1_s101
GroupDRO,cartoon,102,0.818259385665529,0.9619764535526459,3500,final_GroupDRO_e1_s102
GroupDRO,photo,100,0.9562874251497006,0.950750839786549,2750,final_GroupDRO_e2_s100
GroupDRO,photo,101,0.9580838323353293,0.9594146005262134,2500,final_GroupDRO_e2_s101
GroupDRO,photo,102,0.9658682634730539,0.9492442442382485,1000,final_GroupDRO_e2_s102
GroupDRO,sketch,100,0.8233647238483075,0.9707570419105784,750,final_GroupDRO_e3_s100
GroupDRO,sketch,101,0.8157291931789259,0.9690847861462623,1500,final_GroupDRO_e3_s101
GroupDRO,sketch,102,0.7818783405446679,0.969397286758896,2750,final_GroupDRO_e3_s102
IB_ERM,art_painting,100,0.82080078125,0.9769958803064567,2250,final_IB_ERM_e0_s100
IB_ERM,art_painting,101,0.833984375,0.9781445003726555,500,final_IB_ERM_e0_s101
IB_ERM,art_painting,102,0.8720703125,0.9808410181650961,1000,final_IB_ERM_e0_s102
IB_ERM,cartoon,100,0.8165529010238908,0.9740409421451118,4500,final_IB_ERM_e1_s100
IB_ERM,cartoon,101,0.7994880546075085,0.974911811870629,2000,final_IB_ERM_e1_s101
IB_ERM,cartoon,102,0.8063139931740614,0.9738110249530373,1250,final_IB_ERM_e1_s102
IB_ERM,photo,100,0.9784431137724551,0.9666398528614902,1500,final_IB_ERM_e2_s100
IB_ERM,photo,101,0.9796407185628743,0.9729064589747006,500,final_IB_ERM_e2_s101
IB_ERM,photo,102,0.9712574850299401,0.9695643434380138,750,final_IB_ERM_e2_s102
